User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,cemeteryTest,5,09-27-24,10:43:36,17.6448343,6.129169,3.651866,4.527844,(0.06535482;0.06535482;0.06535482),303,14.13291,6.297568,7.803605,(0.1990559;0.1990559;0.1990559),170,(53.24567;-1.104301;-7.896549),(0.01778092;0.9736715;-0.08162709;0.2120959),(0.06535482;0.06535482;0.06535482),(51.24917;-2.542737;-5.784444),(-0.0180887;0.9570069;0.06117769;0.2829628),(0.1990559;0.1990559;0.199056),(54.75198;-1.715827;-11.19002),(-0.04939422;-0.2588282;-0.03446155;0.9640439),(0.9999999;1;0.9999999),(54.74067;-1.71646;-11.23347),(-0.502113;0.1048716;0.8584167),27.4307753
,cemeteryTest,11,09-27-24,10:43:47,28.9303697,23.74819,6.370842,6.548746,(0.1790763;0.1790763;0.1790763),224,13.03508,3.947148,4.676971,(0.07446627;0.07446627;0.07446627),259,(53.18153;-2.852114;-4.510001),(-0.009504011;0.9899293;0.08161515;0.1152764),(0.1790763;0.1790763;0.1790763),(53.63202;-1.342472;-7.318522),(0.006444974;0.9889612;-0.04521726;0.1409601),(0.07446629;0.07446627;0.07446629),(54.75927;-1.712189;-11.1925),(-0.06593306;-0.2507623;-0.040562;0.9649486),(1;1;0.9999999),(54.76405;-1.714615;-11.22588),(-0.4971087;0.08942008;0.8630559),36.3485132
,cemeteryTest,2,09-27-24,10:43:56,37.969707,22.43673,6.792781,4.988504,(0.144066;0.144066;0.144066),346,20.14207,7.60518,6.834948,(0.217515;0.217515;0.217515),131,(52.4456;1.843263;-5.18773),(0.04600089;0.9517208;-0.2456706;0.1782061),(0.144066;0.144066;0.144066),(49.10295;-2.386549;-5.436212),(-0.01577413;0.9243712;0.03845;0.3792237),(0.217515;0.217515;0.2175151),(54.77235;-1.71381;-11.18295),(-0.05723478;-0.2492591;-0.04545273;0.9656751),(1;1;1),(54.78703;-1.715884;-11.21069),(-0.4975821;0.09447113;0.8622518),46.56286
,cemeteryTest,14,09-27-24,10:44:06,48.1509692,22.33228,3.521494,4.676525,(0.06996556;0.06996556;0.06996556),93,7.561212,2.355402,4.428081,(0.04134846;0.04134846;0.04134846),77,(51.93383;-1.092659;-8.715843),(0.03363859;0.9074185;-0.07403693;0.4122846),(0.06996557;0.06996556;0.06996556),(53.47585;-1.211109;-9.253219),(0.03055173;0.9518293;-0.1010083;0.2878976),(0.04134846;0.04134846;0.04134846),(54.7634;-1.709789;-11.18692),(-0.08023658;-0.2280536;-0.04462881;0.96931),(1;0.9999999;0.9999999),(54.74921;-1.712193;-11.2289),(-0.5012627;0.09174975;0.8604074),57.7407512
,cemeteryTest,15,09-27-24,10:44:17,59.2346184,19.69912,7.059773,4.874605,(0.143643;0.143643;0.143643),126,14.58785,6.571348,6.256884,(0.1669254;0.1669254;0.1669254),97,(49.50218;-2.039749;-5.848222),(-0.00823927;0.925114;0.02010796;0.379067),(0.1436429;0.143643;0.1436429),(50.20224;-0.8732261;-6.222206),(0.02250659;0.9300472;-0.05779701;0.3621673),(0.1669254;0.1669254;0.1669254),(54.75893;-1.713928;-11.1858),(-0.05871497;-0.2426102;-0.05389496;0.9668445),(1;1;1),(54.78711;-1.717511;-11.20565),(-0.4891118;0.09535707;0.8669821),65.3358806
,cemeteryTest,17,09-27-24,10:44:25,67.190482,14.23863,2.402776,4.145779,(0.04038965;0.04038965;0.04038965),55,21.89152,4.987095,7.079376,(0.1494733;0.1494733;0.1494733),45,(53.27348;-1.036587;-9.320325),(0.04557427;0.9349644;-0.1304115;0.3267374),(0.04038965;0.04038965;0.04038965),(51.42211;0.4037777;-7.5434),(0.0729142;0.9129727;-0.1875415;0.3549543),(0.1494733;0.1494733;0.1494733),(54.75858;-1.714927;-11.18565),(-0.05194505;-0.2355788;-0.04877861;0.9692395),(1;1;0.9999999),(54.77376;-1.716953;-11.21267),(-0.4975352;0.09250394;0.8624904),77.480931
,cemeteryTest,13,09-27-24,10:44:38,79.9386955,13.50936,7.549698,6.469151,(0.197345;0.197345;0.197345),9,18.83352,5.341626,5.353572,(0.1187274;0.1187274;0.1187274),38,(51.29037;1.271088;-4.903135),(0.04898792;0.9494619;-0.1896252;0.2452846),(0.197345;0.1973449;0.197345),(51.52018;0.6280873;-7.191817),(0.07105253;0.9207775;-0.1998299;0.3273963),(0.1187273;0.1187274;0.1187273),(54.76265;-1.71139;-11.17497),(-0.06889537;-0.2412711;-0.05295908;0.9665594),(0.9999999;1;1),(54.77674;-1.71562;-11.20203),(-0.5046202;0.09009541;0.8586118),87.6032748
,cemeteryTest,7,09-27-24,10:44:47,89.4689904,5.079415,6.896574,6.045611,(0.1644657;0.1644657;0.1644657),208,5.533197,6.774057,5.826082,(0.1557977;0.1557977;0.1557977),57,(51.80283;-1.492274;-4.90016),(0.003564422;0.9759011;-0.01598601;0.2175979),(0.1644657;0.1644657;0.1644657),(51.21545;-0.5616385;-5.460515),(0.02333057;0.9583982;-0.08209182;0.2723777),(0.1557977;0.1557977;0.1557977),(54.74262;-1.719046;-11.16472),(-0.04759445;-0.2366675;-0.04454256;0.9694015),(0.9999999;1;1),(54.76332;-1.723156;-11.18868),(-0.5012038;0.08168671;0.8614622),94.8880592
,cemeteryTest,8,09-27-24,10:44:55,96.7767177,7.476044,7.300653,5.048441,(0.1460765;0.1460765;0.1460765),319,7.945166,4.509624,4.683145,(0.08379931;0.08379931;0.08379931),84,(52.04797;-0.1262273;-4.513636),(0.02083008;0.9756219;-0.1065563;0.1907187),(0.1460765;0.1460766;0.1460765),(52.14317;-1.033872;-7.507403),(0.02286936;0.949793;-0.07151306;0.3037369),(0.0837993;0.08379931;0.0837993),(54.75543;-1.715678;-11.17402),(-0.05232456;-0.2399181;-0.05202796;0.9679848),(1;0.9999999;1),(54.77151;-1.718914;-11.20078),(-0.5002634;0.09519545;0.8606226),107.801333
,cemeteryTest,1,09-27-24,10:45:07,109.3130657,16.45033,4.002945,4.459303,(0.07314474;0.07314474;0.07314474),5,23.7345,4.659945,5.918747,(0.1183835;0.1183835;0.1183835),217,(52.97295;-0.01507759;-7.804383),(0.05020469;0.9492323;-0.2021704;0.2357216),(0.07314476;0.07314474;0.07314476),(53.48871;-2.807436;-6.365306),(-0.01385974;0.9859238;0.1069553;0.1277603),(0.1183836;0.1183835;0.1183836),(54.75604;-1.715824;-11.17316),(-0.0554864;-0.240681;-0.05160321;0.9676421),(0.9999999;1;1),(54.76974;-1.71854;-11.20124),(-0.4981672;0.09367226;0.8620003),116.7458828
