User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,officeTest,10,09-26-24,05:37:07,7.2930774,24.82175,5.933174,4.243143,(0.1449116;0.1449116;0.1449116),172,14.8827,7.912401,5.918235,(0.2530797;0.2530797;0.2530797),80,(21.47098;1.58676;21.45094),(-0.2057478;-0.003789186;-0.0007966676;0.9785974),(0.1449116;0.1449116;0.1449116),(23.03594;4.702365;19.42201),(0.0293751;-0.09902089;0.002924402;0.9946474),(0.2530797;0.2530797;0.2530797),(21.42465;4.219208;27.43438),(0.001383363;-0.99956;-0.007087765;0.02876998),(1;0.9999999;1),(21.4166;4.224427;27.46596),(-0.00130906;0.003427458;-0.9999844),10.2004922
,officeTest,16,09-26-24,05:37:11,11.883985,9.174957,3.314388,5.00695,(0.08781359;0.08781359;0.08781359),353,13.211,4.983929,6.17576,(0.165132;0.165132;0.165132),237,(21.15001;4.778049;24.13454),(0.08347419;0.04126447;-0.003459571;0.9956492),(0.08781358;0.08781358;0.08781359),(20.12969;3.623626;22.51647),(-0.05776844;0.1281138;0.007475335;0.9900474),(0.165132;0.165132;0.165132),(21.42395;4.219026;27.43366),(-0.0002072651;-0.9994927;-0.004173542;0.03157379),(1;1;1),(21.40014;4.22403;27.46576),(0.009368457;-0.004448844;-0.9999409),14.3435879
,officeTest,2,09-26-24,05:37:16,16.6148947,15.70545,6.650447,7.438469,(0.2683396;0.2683396;0.2683396),258,8.550434,5.649661,7.59262,(0.2265068;0.2265068;0.2265068),246,(19.17235;3.886136;20.91115),(-0.02379493;0.1653899;0.00399159;0.9859331),(0.2683396;0.2683396;0.2683396),(20.28749;3.920234;21.84278),(-0.02605963;0.1000728;0.002621925;0.9946353),(0.2265068;0.2265068;0.2265068),(21.42404;4.219401;27.43375),(-0.0006767611;-0.999479;-0.004004178;0.03202036),(1;1;1),(21.42621;4.225124;27.46479),(-0.006683439;0.01006179;-0.9999258),18.3745717
,officeTest,0,09-26-24,05:37:19,19.8745333,9.717854,2.868616,4.958743,(0.07539044;0.07539044;0.07539044),226,8.574109,2.849396,4.606617,(0.06934735;0.06934735;0.06934735),154,(20.89811;3.912322;24.58683),(-0.05264052;0.09121212;0.00482836;0.9944275),(0.07539045;0.07539044;0.07539045),(21.43991;3.866578;24.57279),(-0.06136755;-0.00267235;-0.0001643059;0.9981117),(0.06934734;0.06934735;0.06934734),(21.42459;4.219586;27.43265),(-0.000773949;-0.9995269;-0.005827105;0.03018971),(1;1;1),(21.42479;4.225148;27.464),(-0.003319014;0.006374572;-0.9999679),22.2841081
,officeTest,3,09-26-24,05:37:24,24.0065551,19.75688,7.812514,5.119161,(0.2219852;0.2219852;0.2219852),279,13.94308,3.936024,4.043941,(0.08568246;0.08568246;0.08568246),45,(18.07734;4.847418;19.8595),(0.03698673;0.2063397;-0.007805504;0.9777499),(0.2219852;0.2219852;0.2219852),(21.81576;5.022195;23.47519),(0.09923711;-0.04933375;0.004926144;0.9938279),(0.08568245;0.08568246;0.08568245),(21.42205;4.220276;27.43109),(0.003406178;-0.9992175;-0.01357675;0.03699467),(1;1;1),(21.42362;4.224711;27.46341),(-0.01964678;0.003691319;-0.9997969),26.1552617
,officeTest,8,09-26-24,05:37:28,28.0481037,22.33491,7.892748,7.63684,(0.340267;0.340267;0.340267),11,14.7832,2.721354,4.923045,(0.0723828;0.0723828;0.0723828),143,(21.4741;7.548703;19.57546),(0.199071;-0.003193384;0.0006486973;0.9799796),(0.340267;0.340267;0.340267),(21.66744;3.697956;24.67692),(-0.09294289;-0.04405881;-0.004116822;0.9946877),(0.07238279;0.0723828;0.07238281),(21.4229;4.219377;27.43188),(0.002880059;-0.9993475;-0.009156484;0.034821),(1;1;1),(21.4235;4.224599;27.46326),(-0.002097875;0.006406435;-0.9999654),30.2468817
,officeTest,1,09-26-24,05:37:32,32.214571,24.73931,7.395749,5.218133,(0.221966;0.221966;0.221966),73,5.592966,7.519167,7.896044,(0.3114863;0.3114863;0.3114863),137,(24.14503;5.409537;19.85078),(0.0721321;-0.171042;0.01255686;0.9825395),(0.221966;0.221966;0.221966),(21.3905;3.866184;19.88594),(-0.02344258;0.002139072;5.015926E-05;0.9997229),(0.3114863;0.3114863;0.3114863),(21.42279;4.220311;27.4327),(0.001734356;-0.9992921;-0.01217608;0.035553),(1;0.9999999;1),(21.45408;4.226355;27.46264),(-0.01417473;0.004278192;-0.9998817),35.045331
,officeTest,13,09-26-24,05:37:37,37.3882461,23.09455,7.706964,6.036865,(0.2641822;0.2641822;0.2641822),356,16.13165,5.590397,5.157697,(0.1567936;0.1567936;0.1567936),182,(20.59512;7.6851;19.85021),(0.2112308;0.05306403;-0.01148524;0.9759272),(0.2641823;0.2641822;0.2641822),(20.95736;2.741853;21.82447),(-0.1279905;0.04099213;0.005294713;0.9909137),(0.1567936;0.1567936;0.1567936),(21.42225;4.220534;27.43378),(0.003664662;-0.9992145;-0.01241711;0.03745435),(1;1;0.9999999),(21.45423;4.226779;27.46385),(-0.0008982494;0.01036069;-0.9999388),40.4770188
,officeTest,7,09-26-24,05:37:42,42.7170977,21.2914,3.657076,4.386314,(0.08994173;0.08994173;0.08994173),265,16.76349,5.171298,7.955666,(0.2243457;0.2243457;0.2243457),174,(19.72938;4.160472;23.8924),(-0.00739684;0.2211539;0.001677425;0.9752094),(0.08994173;0.08994173;0.08994173),(21.20087;2.77919;22.23264),(-0.134584;0.02108046;0.002863801;0.9906738),(0.2243457;0.2243457;0.2243457),(21.42229;4.22001;27.43301),(0.003422149;-0.999217;-0.01045865;0.03800486),(1;1;1),(21.39498;4.224177;27.46588),(-0.01235159;0.01604783;-0.9997835),45.430694
,officeTest,6,09-26-24,05:37:47,47.1398783,13.62446,7.823971,4.509675,(0.1896651;0.1896651;0.1896651),130,5.655718,4.11551,4.050415,(0.0875151;0.0875151;0.0875151),63,(22.33012;3.198689;19.5004),(-0.06350794;-0.0567901;-0.003619807;0.9963576),(0.1896651;0.1896651;0.1896651),(21.49248;4.504755;23.30875),(0.03434731;-0.008441788;0.0002901343;0.9993743),(0.0875151;0.08751511;0.0875151),(21.42278;4.220817;27.43405),(0.005022372;-0.9992954;-0.01172973;0.03529825),(1;1;1),(21.42501;4.226086;27.46574),(-0.163038;0.008475176;-0.9865729),53.6698793
