User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,spaceTest,10,09-26-24,12:10:03,10.8562895,9.955359,2.597742,6.775412,(2.134972;2.134972;2.134972),118,21.41847,5.023443,7.777113,(5.012913;5.012913;5.012913),18,(0.8835638;1.47647;-0.1585563),(-0.0009354413;-0.1273012;-0.0001200597;0.9918637),(2.134972;2.134972;2.134972),(1.423427;3.75655;-2.348707),(0.2142305;-0.1212585;0.02681229;0.9688565),(5.012913;5.012913;5.012913),(0.2175257;1.481445;2.393411),(-0.02128177;-0.9974133;-0.04491308;-0.05193006),(1;0.9999999;1),(0.2097869;1.483395;2.41604),(0.06828921;0.0783227;-0.9945753),14.3751177
,spaceTest,7,09-26-24,12:10:09,16.0632728,12.37405,5.341115,5.531748,(3.614583;3.614583;3.614583),223,24.49738,2.441741,7.793399,(2.497954;2.497954;2.497954),279,(-0.02722627;1.439119;-3.070121),(-0.00428824;0.0223698;9.595197E-05;0.9997406),(3.614583;3.614582;3.614583),(-0.6225235;2.037441;-0.09574433),(0.1019366;0.1611884;-0.01674066;0.9815024),(2.497954;2.497954;2.497954),(0.2173483;1.486027;2.392349),(-0.005248743;-0.9958981;-0.07416792;-0.05156162),(1;1;1),(0.2155359;1.485941;2.416034),(0.06387149;0.08506395;-0.9943203),19.7171441
,spaceTest,6,09-26-24,12:10:14,21.2385158,6.960304,2.02652,6.71222,(1.637216;1.637216;1.637216),150,12.12079,3.695855,4.496811,(2.031534;2.031534;2.031534),321,(0.4294258;1.522523;0.362035),(0.009345477;-0.05352864;0.0005009908;0.9985225),(1.637216;1.637216;1.637215),(-0.1027865;2.566641;-1.216685),(0.1445467;0.04293074;-0.006277395;0.9885463),(2.031534;2.031534;2.031534),(0.2112033;1.484311;2.391546),(-0.007572536;-0.9977226;-0.06274144;-0.02357974),(1;0.9999999;1),(0.2183002;1.484864;2.415785),(0.05717409;0.08373659;-0.9948381),25.5261143
,spaceTest,8,09-26-24,12:10:20,27.0254974,9.814932,7.093576,7.517087,(6.464446;6.464446;6.464446),212,15.25105,6.553948,6.744073,(5.473557;5.473557;5.473557),65,(-0.1805557;1.37327;-4.795276),(-0.007737928;0.02707739;0.000209606;0.9996034),(6.464446;6.464446;6.464446),(2.081889;3.055141;-3.946041),(0.1151803;-0.1421809;0.01666006;0.9829754),(5.473557;5.473558;5.473558),(0.2091235;1.484717;2.392249),(-0.005326443;-0.9977273;-0.06453332;-0.01863794),(1;1;1),(0.2114931;1.485174;2.416223),(0.05490203;0.08610502;-0.9947665),31.2787341
,spaceTest,9,09-26-24,12:10:25,32.7911263,23.91896,5.721399,5.470851,(4.091792;4.091792;4.091792),115,8.17873,4.250615,5.393054,(2.767519;2.767519;2.767519),179,(2.984629;1.116464;-3.207823),(-0.02862727;-0.2277308;-0.006698287;0.9732802),(4.091792;4.091792;4.091792),(0.5795766;1.409899;-1.886283),(-0.008659236;-0.04278363;-0.000370827;0.9990468),(2.767519;2.767519;2.767519),(0.2125037;1.484335;2.391644),(-0.001618327;-0.99715;-0.06278518;-0.04180131),(1;1;1),(0.2106092;1.484849;2.415185),(0.06886685;0.07498346;-0.9947907),36.1204976
,spaceTest,0,09-26-24,12:10:30,37.8198106,22.21744,5.552905,4.873508,(3.493488;3.493488;3.493488),10,19.4617,7.114417,7.926785,(7.144393;7.144393;7.144393),134,(0.9208618;4.210666;-2.905074),(0.2334524;-0.06476308;0.01558535;0.970084),(3.493488;3.493489;3.493489),(2.423361;0.3827591;-4.740618),(-0.0721928;-0.1494856;-0.0109443;0.9860642),(7.144393;7.144393;7.144393),(0.2108238;1.481732;2.389043),(-0.001183596;-0.9985452;-0.04571818;-0.02856619),(1;1;1),(0.2087326;1.483529;2.412405),(0.06055517;0.06836581;-0.9958157),42.6510175
,spaceTest,11,09-26-24,12:10:37,44.3502179,9.626266,6.731061,7.702408,(6.28154;6.28154;6.28154),244,20.30758,5.172004,6.10861,(4.025222;4.025222;4.025222),317,(-0.3322245;2.097854;-4.378731),(0.04470608;0.03979918;-0.001782464;0.9982055),(6.281541;6.28154;6.28154),(-0.7243237;3.722496;-2.5549),(0.2062267;0.09096295;-0.01925822;0.9740767),(4.025222;4.025222;4.025222),(0.2091456;1.487547;2.399543),(-0.002381804;-0.9960205;-0.08161902;-0.03571943),(1;0.9999999;1),(0.2062015;1.48737;2.42314),(0.06649176;0.06830651;-0.9954337),48.3895428
,spaceTest,2,09-26-24,12:10:42,49.9143541,8.735838,2.088474,6.079487,(1.534916;1.534916;1.534916),4,16.51302,5.481374,4.330839,(2.959204;2.959204;2.959204),263,(0.3658719;2.124202;0.3861347),(0.1526013;-0.03843733;0.005939703;0.9875222),(1.534916;1.534916;1.534916),(-1.051708;2.156965;-3.141446),(0.05837873;0.1115553;-0.006564843;0.9920203),(2.959204;2.959204;2.959204),(0.209294;1.486394;2.394467),(-0.004252346;-0.9964845;-0.07745417;-0.03164573),(1;1;1),(0.2068254;1.486509;2.417753),(0.05697031;0.06520165;-0.9962384),53.9238833
,spaceTest,4,09-26-24,12:10:48,55.5452041,8.784761,4.91863,4.929632,(2.932068;2.932068;2.932068),54,18.79319,7.802969,5.905461,(5.816199;5.816199;5.816199),262,(0.9079378;2.475045;-2.436973),(0.09999622;-0.07188247;0.007243304;0.9923614),(2.932068;2.932068;2.932068),(-2.275944;1.965691;-5.456152),(0.02900474;0.1524841;-0.00447707;0.9878701),(5.816199;5.816199;5.816199),(0.2050928;1.4821;2.389076),(0.003302869;-0.9984074;-0.05551179;-0.009494667),(1;1;1),(0.2017652;1.483649;2.412545),(0.0518247;0.07199112;-0.9960561),60.1320633
,spaceTest,12,09-26-24,12:10:54,61.73319,16.86929,7.35533,7.923797,(7.274713;7.274713;7.274713),118,5.850716,3.67079,7.571205,(3.337346;3.337346;3.337346),340,(2.539653;1.241204;-4.927948),(-0.01550277;-0.1535774;-0.002409763;0.9880121),(7.274713;7.274713;7.274713),(0.2636825;2.24164;-1.218756),(0.1034367;-0.007708021;0.0008016164;0.9946058),(3.337346;3.337346;3.337346),(0.2077159;1.482347;2.391857),(-0.002680966;-0.9981388;-0.05560459;-0.02489769),(0.9999999;1;1),(0.2071784;1.483777;2.415341),(0.05661332;0.05839601;-0.9966829),66.1849709
