User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,cemeteryTest,14,09-26-24,05:55:23,28.4834009,17.02526,5.83226,4.418657,(0.1059195;0.1059195;0.1059195),89,20.44485,3.462917,6.276436,(0.09113576;0.09113576;0.09113576),270,(50.38167;-1.559426;-6.899285),(0.01545198;0.9118944;-0.03447806;0.4086823),(0.1059196;0.1059195;0.1059196),(54.23689;-1.748862;-7.325218),(0.00342406;0.9949692;-0.03654855;0.09321394),(0.09113578;0.09113576;0.09113579),(54.92148;-2.020008;-10.94684),(-0.03742625;-0.2686526;-0.006883053;0.9624852),(1;1;0.9999999),(54.93662;-2.019828;-10.97044),(-0.5185813;0.02822449;0.8545482),37.7743203
,cemeteryTest,13,09-26-24,05:55:36,41.3959906,17.46599,5.650818,6.488371,(0.151011;0.151011;0.151011),19,24.67896,6.166981,7.949542,(0.2119135;0.2119135;0.2119135),18,(51.49257;-0.06128514;-6.523816),(0.05440952;0.9325857;-0.1587939;0.3195434),(0.151011;0.151011;0.151011),(51.00189;0.979386;-6.281335),(0.07779082;0.9149336;-0.213288;0.3336964),(0.2119135;0.2119135;0.2119135),(54.92089;-2.021814;-10.93924),(-0.02217786;-0.2760598;-0.01127805;0.9608184),(1;1;1),(54.93806;-2.020393;-10.96193),(-0.491901;0.1022604;0.8646191),49.8384595
,cemeteryTest,10,09-26-24,05:55:51,55.9569019,21.22481,2.666021,7.017965,(0.0788504;0.0788504;0.0788504),8,12.18683,5.35555,6.973176,(0.1500929;0.1500929;0.1500929),91,(53.44175;-0.7627548;-8.843475),(0.06831464;0.9284167;-0.2146669;0.2954551),(0.07885039;0.0788504;0.07885039),(51.08427;-1.552216;-7.06287),(0.01619929;0.9239085;-0.03936123;0.3802386),(0.1500928;0.1500929;0.1500929),(54.9269;-2.018216;-10.94059),(-0.03918922;-0.2799977;-0.0208824;0.9589731),(0.9999999;1;0.9999999),(54.94036;-2.017813;-10.96574),(-0.4989255;0.08857623;0.862097),62.6089147
,cemeteryTest,1,09-26-24,05:56:04,69.8296838,23.81733,6.560174,5.876994,(0.1655887;0.1655887;0.1655887),283,11.92155,2.5033,6.179449,(0.06211779;0.06211779;0.06211779),5,(53.8848;-0.9195502;-3.930854),(0.005678705;0.9943169;-0.07664385;0.07367104),(0.1655887;0.1655887;0.1655887),(53.59618;-1.299734;-8.877479),(0.04015822;0.9494157;-0.1361041;0.28013),(0.06211779;0.06211779;0.06211778),(54.92912;-2.018508;-10.93963),(-0.03432567;-0.2761985;-0.02024899;0.960274),(1;0.9999999;1),(54.91912;-2.017095;-10.97763),(-0.4964319;0.09844356;0.8624708),78.9229661
,cemeteryTest,17,09-26-24,05:56:15,80.51295,17.97525,7.77235,7.123653,(0.2286665;0.2286665;0.2286665),174,24.00991,3.857108,4.54921,(0.07548858;0.07548858;0.07548858),63,(50.65006;-4.029992;-4.272558),(-0.03492464;0.9520779;0.1189149;0.2796199),(0.2286665;0.2286665;0.2286665),(51.7083;-0.9630568;-8.42215),(0.05538853;0.8913341;-0.1133811;0.4354313),(0.07548858;0.07548858;0.07548858),(54.93286;-2.020176;-10.93488),(-0.0269404;-0.2622379;-0.02011502;0.9644174),(0.9999999;1;1),(54.92878;-2.018485;-10.96922),(-0.4953615;0.09729797;0.863215),90.029951
,cemeteryTest,7,09-26-24,05:56:28,93.328409,6.562667,4.541982,5.785283,(0.1039286;0.1039286;0.1039286),202,14.59059,5.412057,5.534655,(0.1216228;0.1216228;0.1216228),30,(52.56945;-2.222063;-7.02682),(-0.005929789;0.9630981;0.02129038;0.2682417),(0.1039286;0.1039286;0.1039286),(51.43861;-0.4424219;-6.863288),(0.04944533;0.9283019;-0.1336498;0.3434363),(0.1216228;0.1216228;0.1216229),(54.93055;-2.020026;-10.93668),(-0.02634996;-0.2877522;-0.0219897;0.9570898),(1;0.9999999;1),(54.93055;-2.020026;-10.93668),(-0.5496504;0.06309371;0.8330088),100.5227185
,cemeteryTest,15,09-26-24,05:57:10,135.2643637,19.6321,2.772105,5.416948,(0.06264787;0.06264787;0.06264787),333,15.18125,5.696042,6.893716,(0.1598401;0.1598401;0.1598401),352,(54.05215;-1.033933;-8.308129),(0.02798287;0.9719955;-0.1682467;0.1616627),(0.06264789;0.06264787;0.06264788),(52.4711;-0.2370948;-5.880947),(0.03462635;0.9626079;-0.1491517;0.2234745),(0.1598401;0.1598401;0.1598401),(54.9494;-2.023192;-10.93086),(-0.01704848;-0.2511958;-0.02828731;0.9673727),(1;1;1),(54.9399;-2.020181;-10.96698),(-0.4788225;0.1162778;0.8701764),145.4264915
,cemeteryTest,2,09-26-24,05:57:25,150.5225411,12.63766,6.907182,7.108287,(0.1976664;0.1976664;0.1976664),336,23.34078,4.967917,6.776333,(0.1440422;0.1440422;0.1440422),217,(52.63159;0.06322801;-4.565705),(0.02579499;0.9738822;-0.1463006;0.1717101),(0.1976665;0.1976664;0.1976665),(53.83195;-3.262981;-5.777873),(-0.01233355;0.9876198;0.1153007;0.1056443),(0.1440422;0.1440422;0.1440422),(54.94563;-2.016612;-10.92394),(-0.04529515;-0.2232661;-0.0275631;0.9733144),(1;0.9999999;1),(54.94563;-2.016612;-10.92394),(-0.4321193;0.1004807;0.8962012),162.1203749
,cemeteryTest,6,09-26-24,05:57:44,169.8819806,21.29648,5.780743,7.261768,(0.1769894;0.1769894;0.1769894),36,8.384066,6.165887,6.624936,(0.1622169;0.1622169;0.1622169),311,(51.41449;0.3608371;-6.413454),(0.06380712;0.9270557;-0.1849527;0.3198264),(0.1769894;0.1769894;0.1769894),(52.99786;-0.8674676;-5.117601),(0.01497376;0.9826502;-0.0916502;0.1605449),(0.1622169;0.1622169;0.1622169),(54.94723;-2.020031;-10.92411),(-0.04313274;-0.21758;-0.02056881;0.9748721),(1;0.9999999;1),(54.94723;-2.020031;-10.92411),(-0.4224508;0.09304854;0.9015971),177.0678884
,cemeteryTest,9,09-26-24,05:58:23,208.0509615,11.51754,3.283516,6.629874,(0.08728325;0.08728325;0.08728325),213,24.14858,7.381601,6.90589,(0.2194698;0.2194698;0.2194698),153,(53.80865;-2.464232;-7.806412),(-0.01140166;0.9825456;0.0643177;0.1741768),(0.08728325;0.08728325;0.08728327),(50.21762;-4.614544;-4.897655),(-0.05293864;0.932642;0.1531583;0.3223645),(0.2194698;0.2194698;0.2194698),(54.95069;-2.02739;-10.92636),(-0.01630322;-0.2257578;-0.02140958;0.9738117),(1;1;1),(54.93813;-2.024303;-10.96256),(-0.516957;0.09499244;0.8507078),220.0950277
