User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,officeTest,16,09-26-24,11:57:34,15.5716385,18.44177,7.962446,6.137726,(0.2690749;0.2690749;0.2690749),42,13.89539,2.357182,6.768994,(0.08584098;0.08584098;0.08584098),141,(23.04266;6.545033;19.89339),(0.1363041;-0.102036;0.01411547;0.9852972),(0.2690749;0.2690749;0.2690749),(21.73003;3.90249;25.42399),(-0.07494469;-0.0713646;-0.005377348;0.9946163),(0.08584098;0.08584097;0.08584099),(21.38727;4.266362;27.80022),(0.005729197;-0.9998028;-0.01800637;0.006106031),(1;1;1),(21.38237;4.269565;27.82284),(-0.02281063;-0.0009496771;-0.9997261),18.1134828
,officeTest,4,09-26-24,11:57:38,20.1240412,22.89365,5.962791,6.635367,(0.2243032;0.2243032;0.2243032),4,22.59854,6.418751,6.019238,(0.2185839;0.2185839;0.2185839),168,(21.8361;7.228004;22.05989),(0.2349011;-0.03733823;0.009030323;0.9712599),(0.2243032;0.2243032;0.2243032),(22.16433;2.14725;21.22462),(-0.154265;-0.05756899;-0.009004147;0.9863098),(0.2185839;0.2185839;0.2185839),(21.3941;4.270168;27.80019),(-0.007485087;-0.9990467;-0.03846544;-0.01923949),(1;1;1),(21.39088;4.272656;27.82331),(-0.00513804;-0.0181923;-0.9998143),22.3589642
,officeTest,15,09-26-24,11:57:43,24.2667402,9.203587,3.78316,5.134215,(0.1027878;0.1027878;0.1027878),83,13.30418,7.23404,5.5444,(0.215284;0.215284;0.215284),260,(21.92681;4.643526;24.02702),(0.04858011;-0.07039939;0.00343261;0.9963294),(0.1027878;0.1027878;0.1027878),(19.55334;4.653942;20.6107),(0.0255869;0.1246663;-0.00321599;0.9918635),(0.215284;0.215284;0.215284),(21.39046;4.270674;27.80344),(-0.01948625;-0.9988559;-0.04234549;0.01067483),(1;1;1),(21.39113;4.272592;27.82658),(-0.009909924;-0.01094387;-0.9998799),26.1878061
,officeTest,3,09-26-24,11:57:46,27.6882085,10.66576,2.477874,7.748291,(0.1020126;0.1020126;0.1020126),125,15.72553,7.490978,5.636563,(0.2291268;0.2291268;0.2291268),17,(21.71201;4.231411;25.30394),(-0.007943828;-0.06415048;-0.0005106683;0.9979085),(0.1020126;0.1020126;0.1020126),(21.93067;6.98025;20.52878),(0.1766943;-0.03654959;0.006566017;0.983565),(0.2291268;0.2291268;0.2291268),(21.3892;4.271552;27.8043),(-0.01791763;-0.9986194;-0.04817908;0.01082017),(1;0.9999999;0.9999999),(21.40131;4.273003;27.8275),(-0.00612214;-0.01124444;-0.999905),30.4414805
,officeTest,11,09-26-24,11:57:55,37.1293681,20.94912,7.633591,4.188339,(0.1788568;0.1788568;0.1788568),114,12.53809,3.984564,6.953552,(0.1482294;0.1482294;0.1482294),111,(25.81145;3.789995;20.92819),(-0.02817664;-0.2809787;-0.008253231;0.9592648),(0.1788568;0.1788568;0.1788568),(23.14384;4.308392;24.10378),(0.004617691;-0.2177372;0.001030171;0.975996),(0.1482294;0.1482294;0.1482294),(21.40898;4.269767;27.79847),(0.01607375;-0.9922067;-0.04065868;-0.1166809),(1;1;1),(21.40066;4.27189;27.82076),(-0.03260928;0.009473138;-0.9994138),39.4260744
,officeTest,5,09-26-24,11:58:00,41.1828948,17.38851,4.310627,4.147571,(0.09787806;0.09787806;0.09787806),217,6.144528,7.491611,4.871297,(0.1917442;0.1917442;0.1917442),129,(20.58716;3.532127;23.41191),(-0.08142288;0.09059054;0.007431685;0.9925263),(0.09787805;0.09787806;0.09787806),(22.08477;4.26511;20.29177),(-0.0002111769;-0.0458881;-9.700724E-06;0.9989466),(0.1917442;0.1917442;0.1917442),(21.39398;4.268295;27.79493),(-0.02075492;-0.9991442;-0.03543117;-0.004972683),(1;1;0.9999999),(21.38956;4.271186;27.81806),(-0.009818942;-0.0159201;-0.9998131),43.1910445
,officeTest,13,09-26-24,11:58:03,44.6905303,12.11853,7.065149,6.627123,(0.2501052;0.2501052;0.2501052),233,7.552979,3.965786,4.517276,(0.09440804;0.09440804;0.09440804),93,(20.02359;3.983509;20.7056),(-0.01971307;0.09503675;0.001882356;0.9952768),(0.2501052;0.2501052;0.2501052),(21.84247;4.556683;23.83117),(0.03584003;-0.05674413;0.002038311;0.9977432),(0.09440804;0.09440804;0.09440803),(21.39007;4.269649;27.79563),(-0.01510432;-0.9989783;-0.04148654;0.00965438),(1;1;1),(21.38858;4.271892;27.81885),(0.0002863482;-0.003118813;-0.999987),47.067313
,officeTest,6,09-26-24,11:58:12,53.2522404,15.69787,5.666652,6.018384,(0.1850317;0.1850317;0.1850317),278,19.62535,4.171695,6.406139,(0.1481852;0.1481852;0.1481852),110,(19.72379;4.98723;22.19533),(0.06052222;0.1440664;-0.008828015;0.9876761),(0.1850317;0.1850317;0.1850317),(22.68876;4.014029;23.56665),(-0.02842769;-0.1481441;-0.004260183;0.988548),(0.1481852;0.1481852;0.1481852),(21.39261;4.268547;27.79407),(-0.02272193;-0.9989869;-0.03752902;0.01002989),(1;1;1),(21.39237;4.271135;27.81733),(-0.01541152;-0.008517154;-0.9998375),56.1077276
,officeTest,17,09-26-24,11:58:27,68.4247255,12.59878,4.733925,7.128622,(0.1805772;0.1805772;0.1805772),126,18.43868,4.155163,6.832088,(0.15628;0.15628;0.15628),312,(22.37723;4.024338;23.05133),(-0.02507335;-0.1021699;-0.002576044;0.9944476),(0.1805772;0.1805772;0.1805772),(20.46386;5.51081;23.69831),(0.1423719;0.1100482;-0.01592985;0.9835476),(0.15628;0.15628;0.15628),(21.39216;4.268788;27.79468),(0.003816215;-0.9991419;-0.03905201;-0.01325959),(1;1;1),(21.39025;4.271312;27.8175),(0.003053345;-0.00953465;-0.9999468),70.6115449
,officeTest,7,09-26-24,11:58:35,76.7637528,15.4145,4.259573,7.790439,(0.1797358;0.1797358;0.1797358),334,24.26751,5.484669,7.876703,(0.2474357;0.2474357;0.2474357),12,(20.9706;5.296828;23.55832),(0.1172735;0.04902069;-0.005795939;0.9918721),(0.1797358;0.1797358;0.1797358),(21.92597;6.752772;22.38146),(0.2111665;-0.04748566;0.01027141;0.9762419),(0.2474356;0.2474357;0.2474357),(21.39427;4.26639;27.83407),(0.04440123;-0.9987801;-0.001939946;-0.02151998),(1;1;1),(21.42312;4.272797;27.85855),(0.004122343;-0.02658424;-0.999629),80.2740135
,officeTest,14,09-26-24,11:58:42,83.7415477,10.0308,3.127033,5.198981,(0.08624277;0.08624277;0.08624277),353,19.54308,7.840015,7.858967,(0.3413832;0.3413832;0.3413832),17,(21.39396;4.961468;24.73787),(0.1093147;0.001540441;-0.0001694083;0.994006),(0.08624276;0.08624277;0.08624277),(22.38695;7.265093;20.13812),(0.1826499;-0.06240216;0.01161699;0.981127),(0.3413832;0.3413832;0.3413831),(21.40357;4.271353;27.83754),(-0.009939386;-0.99967;-0.02253379;-0.007302011),(1;1;1),(21.43423;4.273551;27.86131),(-0.1688463;0.01653576;-0.9854937),86.2160618
,officeTest,12,09-26-24,11:58:46,87.7171356,22.52719,3.5995,6.490871,(0.1321033;0.1321033;0.1321033),317,14.56831,6.045464,6.246094,(0.2037731;0.2037731;0.2037731),241,(20.40792;5.60964;24.31003),(0.1727049;0.134545;-0.02382139;0.9754503),(0.1321033;0.1321034;0.1321033),(20.03095;3.92381;21.74855),(-0.02768841;0.110287;0.00307362;0.9935093),(0.203773;0.2037731;0.2037731),(21.39871;4.2717;27.83332),(-0.007669455;-0.999446;-0.03236238;-0.001228931),(1;1;1),(21.3755;4.273833;27.85643),(-0.01144116;0.01867314;-0.9997484),90.5343003
