User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,spaceTest,5,09-26-24,04:43:10,8.8938262,9.506285,2.861339,6.098215,(2.11396;2.11396;2.11396),206,16.58575,4.326537,7.306915,(3.940585;3.940585;3.940585),165,(0.3535346;1.393101;-0.6474563),(-0.02335719;-0.02417579;-0.0005649977;0.9994347),(2.11396;2.11396;2.113961),(1.098977;0.756198;-2.111573),(-0.08543901;-0.09968338;-0.008591536;0.991307),(3.940585;3.940586;3.940586),(0.2134139;1.52863;2.247166),(0.02029113;-0.9967509;-0.05135281;-0.05864158),(0.9999999;1;1),(0.1740292;1.526375;2.267409),(0.0485112;0.09652476;-0.9941345),11.5858631
,spaceTest,7,09-26-24,04:43:14,13.108892,13.24869,5.121621,4.991547,(3.138669;3.138669;3.138669),48,5.930946,7.641407,6.348019,(5.827;5.827;5.827),317,(1.652523;2.728976;-2.673314),(0.1140022;-0.1406436;0.01630533;0.9833397),(3.138669;3.138669;3.138669),(0.5128464;2.65595;-5.349657),(0.07378287;-0.0194366;0.001438282;0.9970839),(5.827;5.827;5.827),(0.2167032;1.525148;2.243426),(0.01376032;-0.9976554;-0.03625413;-0.05639322),(1;1;1),(0.2167792;1.527286;2.265862),(0.0503815;0.1057189;-0.9931123),15.8618783
,spaceTest,6,09-26-24,04:43:18,17.3610122,22.13796,3.140507,6.719972,(2.72208;2.72208;2.72208),272,24.07662,3.523379,4.436492,(2.046181;2.046181;2.046181),251,(-0.6679857;1.852041;-1.01117),(0.04757321;0.1321453;-0.00634964;0.9900678),(2.72208;2.72208;2.72208),(-0.814239;1.330785;-1.468043),(-0.02519313;0.1349938;0.003433466;0.9905202),(2.046181;2.046181;2.046181),(0.2171309;1.526966;2.245527),(0.01241359;-0.9968633;-0.04790277;-0.06176404),(1;1;1),(0.2191311;1.528484;2.268286),(0.06080846;0.1079282;-0.9922879),19.8708338
,spaceTest,2,09-26-24,04:43:25,23.9136374,10.65904,2.584077,6.911645,(2.171236;2.171236;2.171236),35,24.0517,6.267857,6.003146,(4.923437;4.923437;4.923437),162,(0.815433;2.126688;-0.2497612),(0.1145355;-0.1160624;0.01347486;0.986524),(2.171236;2.171236;2.171236),(1.874885;-0.6302714;-4.063759),(-0.1576643;-0.126285;-0.02033412;0.9791735),(4.923437;4.923437;4.923437),(0.2214145;1.52425;2.239858),(0.00114593;-0.9972678;-0.03990825;-0.06215262),(0.9999999;1;0.9999999),(0.1819037;1.524471;2.259745),(0.04043819;0.1057851;-0.9935561),26.9565014
,spaceTest,8,09-26-24,04:43:31,30.2105583,8.983836,7.244091,4.529828,(3.970432;3.970432;3.970432),14,20.67764,6.841031,4.964823,(4.338426;4.338426;4.338426),276,(0.8825756;3.460911;-4.804171),(0.1330267;-0.0472807;0.006353362;0.9899637),(3.970432;3.970432;3.970432),(-1.932721;2.448314;-4.69276),(0.06256557;0.1489661;-0.009444669;0.9868158),(4.338426;4.338426;4.338426),(0.2084137;1.524835;2.237533),(0.02509787;-0.997571;-0.05592695;-0.03308292),(1;1;1),(0.1698322;1.521938;2.260255),(0.04293241;0.1033006;-0.9937213),33.2759312
,spaceTest,4,09-26-24,04:43:36,34.7865147,23.44339,5.879732,6.332314,(4.848857;4.848857;4.848857),177,18.92232,5.574131,7.917733,(5.572943;5.572943;5.572943),128,(1.109393;-0.09913039;-3.890313),(-0.1277683;-0.07172704;-0.009264839;0.9891636),(4.848857;4.848856;4.848857),(2.350607;1.276812;-3.242961),(-0.02106211;-0.184491;-0.003954577;0.9826006),(5.572943;5.572943;5.572944),(0.2151667;1.529311;2.243253),(0.02918524;-0.9954599;-0.07355017;-0.05289933),(1;0.9999999;1),(0.1759374;1.525486;2.264522),(0.05461684;0.1013491;-0.9933394),38.3957845
,spaceTest,3,09-26-24,04:43:42,41.206425,14.79604,7.597567,7.682386,(7.211321;7.211321;7.211321),312,10.18236,3.618511,6.869307,(3.017184;3.017184;3.017184),275,(-0.4016601;3.836833;-5.241735),(0.1483812;0.04094221;-0.006148446;0.9880632),(7.21132;7.21132;7.211321),(0.009297729;2.051954;-1.388867),(0.07131353;0.02885879;-0.002064144;0.9970343),(3.017184;3.017184;3.017184),(0.2197798;1.528715;2.244031),(0.0158907;-0.9958124;-0.065956;-0.06127808),(1;1;1),(0.1987447;1.527779;2.265564),(0.04788326;0.100282;-0.993799),44.5040372
,spaceTest,15,09-26-24,04:43:48,46.3938615,18.42144,6.865956,6.886582,(5.954049;5.954049;5.954049),114,12.85052,5.337816,4.307943,(2.818849;2.818849;2.818849),40,(3.168535;1.591588;-4.364),(0.004196348;-0.2083766;0.0008940547;0.9780393),(5.954049;5.954049;5.954049),(1.616362;3.200964;-2.778691),(0.1530829;-0.133644;0.02089934;0.9789117),(2.818849;2.818849;2.818849),(0.2188687;1.529489;2.244076),(0.01426943;-0.9956143;-0.06798217;-0.06266578),(1;0.9999999;1),(0.2169518;1.52965;2.266166),(0.03238169;0.1113872;-0.9932452),49.6905036
,spaceTest,11,09-26-24,04:43:54,53.2782484,9.197569,3.821908,4.313205,(1.995824;1.995824;1.995824),220,21.65281,3.073559,6.968746,(2.75317;2.75317;2.75317),263,(0.3546626;1.596904;-1.630659),(0.008761675;-0.01772511;0.000155332;0.9998045),(1.995824;1.995824;1.995824),(-0.5642083;1.794169;-0.96424),(0.03983067;0.1193256;-0.004790933;0.9920443),(2.753171;2.75317;2.75317),(0.2174478;1.529051;2.238001),(0.01587743;-0.9950277;-0.07065284;-0.06838149),(1;0.9999999;0.9999999),(0.2151929;1.52911;2.260606),(0.04029709;0.1020032;-0.9939578),57.2185471
,spaceTest,13,09-26-24,04:44:01,59.741142,24.44125,5.826342,7.541143,(5.765256;5.765256;5.765256),218,16.28583,5.619995,4.464708,(3.12413;3.12413;3.12413),148,(-0.8912953;0.3290367;-3.948008),(-0.09388734;0.08794567;0.008326463;0.9916559),(5.765255;5.765256;5.765255),(1.56653;1.015046;-3.433438),(-0.04372791;-0.1165522;-0.005136607;0.9922082),(3.12413;3.12413;3.12413),(0.2149855;1.530114;2.240026),(0.009329787;-0.9962586;-0.07555938;-0.04089766),(1;1;0.9999999),(0.212034;1.53002;2.264256),(0.06924186;0.111034;-0.991394),63.2622694
,spaceTest,14,09-26-24,04:44:06,64.8169558,6.990035,3.474663,6.570588,(2.74817;2.74817;2.74817),67,22.97203,4.853267,6.88367,(4.335124;4.335124;4.335124),267,(0.9019073;2.1483;-1.137284),(0.08860464;-0.09946354;0.008892532;0.9910485),(2.74817;2.74817;2.74817),(-1.410401;2.02576;-2.749706),(0.04674562;0.1568576;-0.00743285;0.9864864),(4.335125;4.335124;4.335124),(0.2172768;1.527307;2.239169),(0.008931538;-0.9969102;-0.06473565;-0.04358488),(1;1;1),(0.1778031;1.526569;2.269108),(0.1095194;0.09718639;-0.9892125),67.5158158
,spaceTest,12,09-26-24,04:44:10,69.0151777,9.183698,2.51788,5.793784,(1.765793;1.765793;1.765793),256,6.858025,6.125392,7.437992,(5.481857;5.481857;5.481857),130,(0.04855454;1.824386;-0.2848726),(0.05766597;0.03269496;-0.001889546;0.9977987),(1.765793;1.765793;1.765793),(1.337128;2.04383;-3.801482),(0.04145824;-0.09161185;0.003817442;0.9949241),(5.481857;5.481857;5.481857),(0.2144134;1.530556;2.243286),(0.01331106;-0.9957446;-0.07889472;-0.04572834),(1;0.9999999;1),(0.2154338;1.530366;2.26645),(0.05963431;0.1038741;-0.9927875),73.3468256
,spaceTest,9,09-26-24,04:44:19,78.012106,24.64865,7.113623,6.455759,(6.037057;6.037057;6.037057),89,20.78527,7.311818,4.381186,(4.095083;4.095083;4.095083),220,(4.326808;2.611978;-4.32713),(0.06655926;-0.2751792;0.01910084;0.958896),(6.037057;6.037056;6.037057),(-0.5860618;0.4026873;-5.452395),(-0.07220374;0.05176818;0.003752723;0.9960385),(4.095083;4.095083;4.095083),(0.2162314;1.530637;2.244961),(0.01169214;-0.9956366;-0.06822317;-0.06258412),(1;0.9999999;1),(0.2155021;1.530722;2.270937),(0.1002749;0.08814205;-0.9910421),80.876267
