User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,cemeteryTest,13,09-23-24,08:36:36,11.2920444,11.42291,3.386703,7.535354,(0.1022706;0.1022706;0.1022706),190,5.29213,6.664536,6.582208,(0.1730821;0.1730821;0.1730821),298,(53.28263;-2.536587;-7.961174),(-0.01578272;0.9688774;0.06409451;0.2385777),(0.1022707;0.1022706;0.1022706),(52.06427;-1.364289;-4.961854),(0.01159656;0.9749547;-0.05238318;0.215835),(0.1730821;0.1730821;0.1730821),(54.87297;-2.08144;-10.9946),(-0.03110917;-0.2558289;-0.007899811;0.9661891),(0.9999999;1;1),(54.89943;-2.08216;-11.01164),(-0.4781761;0.09851896;0.8727168),14.9457156
,cemeteryTest,4,09-23-24,08:36:42,16.4438335,14.46681,4.929351,6.737602,(0.1347512;0.1347512;0.1347512),349,16.76303,5.315361,4.181561,(0.09122791;0.09122791;0.09122791),223,(52.70928;-0.6197058;-6.620495),(0.03310236;0.9633656;-0.1414593;0.2254336),(0.1347513;0.1347512;0.1347513),(53.18492;-3.028489;-5.786825),(-0.01334769;0.9841132;0.08440626;0.1556239),(0.09122793;0.0912279;0.09122793),(54.87278;-2.083193;-10.99009),(-0.02013281;-0.2533978;-0.01082361;0.9670921),(0.9999999;0.9999999;1),(54.88753;-2.083132;-11.0136),(-0.4868429;0.09521022;0.8682671),24.3956749
,cemeteryTest,8,09-23-24,08:36:51,25.894595,18.68501,6.990983,6.098783,(0.1768422;0.1768422;0.1768422),55,13.87494,7.638875,4.473032,(0.1383172;0.1383172;0.1383172),192,(49.77637;-0.254917;-5.97653),(0.04819089;0.9151669;-0.1150651;0.3832847),(0.1768422;0.1768422;0.1768422),(51.36279;-3.412426;-4.076887),(-0.01974013;0.9690592;0.08253132;0.2317829),(0.1383173;0.1383172;0.1383173),(54.87185;-2.081818;-10.99272),(-0.03205141;-0.2567377;-0.009940715;0.9658985),(1;1;0.9999999),(54.88886;-2.082391;-11.01484),(-0.4874405;0.09829661;0.8675909),31.1482106
,cemeteryTest,1,09-23-24,08:36:58,32.6580512,20.76091,6.787817,6.995776,(0.1995022;0.1995022;0.1995022),131,21.53551,6.70639,4.114248,(0.1165759;0.1165759;0.1165759),97,(49.4713;-3.180032;-6.268665),(-0.03137074;0.9081194;0.06918641;0.4117626),(0.1995022;0.1995021;0.1995022),(49.01467;-1.818648;-6.79649),(0.00828778;0.8895087;-0.01614703;0.4565577),(0.1165759;0.1165759;0.1165759),(54.86863;-2.080313;-10.99678),(-0.03821515;-0.2833953;-0.0168516;0.9580933),(1;1;0.9999999),(54.88474;-2.08117;-11.01948),(-0.494517;0.08185004;0.8652947),37.8232495
,cemeteryTest,10,09-23-24,08:37:05,39.3988237,22.5906,3.951332,4.528369,(0.07616167;0.07616167;0.07616167),336,6.693606,3.553627,5.894827,(0.08287363;0.08287363;0.08287363),68,(53.41023;-0.4535532;-7.309387),(0.03648145;0.9634961;-0.1908586;0.1841664),(0.07616167;0.07616167;0.07616167),(52.68394;-1.801773;-8.168203),(0.01282915;0.945377;-0.03748387;0.3235626),(0.08287366;0.08287363;0.08287366),(54.86945;-2.085062;-10.98698),(-0.01536651;-0.2722263;-0.009454122;0.9620641),(1;1;1),(54.88606;-2.08452;-11.00897),(-0.4895101;0.09465446;0.8668362),46.6860772
,cemeteryTest,2,09-23-24,08:37:13,48.1836829,7.329106,7.719176,4.087432,(0.1250221;0.1250221;0.1250221),135,17.97146,5.019762,6.833833,(0.1416798;0.1416798;0.1416798),289,(50.40205;-1.894661;-4.620522),(0.003543454;0.9534554;-0.01121299;0.3013046),(0.1250221;0.1250221;0.1250221),(53.76308;-1.006717;-5.941431),(0.0110203;0.9889613;-0.1014062;0.1074752),(0.1416798;0.1416798;0.1416797),(54.8731;-2.077692;-10.98822),(-0.05274355;-0.2573079;-0.0214171;0.9646513),(1;0.9999999;1),(54.89009;-2.079629;-11.01041),(-0.4914469;0.09342305;0.8658648),54.0040939
,cemeteryTest,16,09-23-24,08:37:21,55.5472755,18.90939,2.454016,6.901674,(0.07033281;0.07033281;0.07033281),102,7.346697,5.095979,6.056146,(0.1222633;0.1222633;0.1222633),349,(52.95714;-1.964454;-9.244211),(0.008939222;0.9141248;-0.02018511;0.4048313),(0.07033281;0.07033282;0.0703328),(52.56446;-0.885954;-6.55486),(0.02783464;0.9645776;-0.1135315;0.2364866),(0.1222633;0.1222633;0.1222633),(54.87612;-2.078957;-10.98585),(-0.04959875;-0.2521451;-0.02603499;0.9660668),(0.9999999;1;0.9999999),(54.89067;-2.080651;-11.00929),(-0.4899233;0.09980924;0.8660293),63.2779373
,cemeteryTest,5,09-23-24,08:37:30,64.7759783,16.20976,4.73048,7.523167,(0.1455813;0.1455813;0.1455813),262,9.712253,6.248526,6.758585,(0.1683238;0.1683238;0.1683238),140,(53.75529;-1.757831;-6.200603),(0.003735084;0.9928704;-0.03234114;0.1146668),(0.1455813;0.1455813;0.1455813),(51.18554;-2.157095;-5.833096),(-0.001896978;0.9521033;0.005907878;0.3057137),(0.1683238;0.1683238;0.1683238),(54.87582;-2.078425;-10.98707),(-0.05262788;-0.2522873;-0.02631721;0.9658617),(1;1;1),(54.89169;-2.080385;-11.00965),(-0.4868642;0.09642927;0.8681286),69.1093858
,cemeteryTest,12,09-23-24,08:37:36,70.6069667,17.34116,6.828338,4.748968,(0.1335017;0.1335017;0.1335017),358,10.60887,4.898692,4.679793,(0.09165752;0.09165752;0.09165752),233,(51.78407;0.8336707;-5.232348),(0.05075511;0.9485685;-0.2018008;0.2385754),(0.1335018;0.1335017;0.1335018),(53.08768;-2.070988;-6.336612),(0.0001326494;0.9832247;-0.0007150565;0.182397),(0.09165755;0.09165752;0.09165754),(54.87527;-2.078237;-10.98888),(-0.05368045;-0.2533091;-0.02604114;0.9655438),(1;1;0.9999999),(54.89005;-2.080085;-11.01211),(-0.4909357;0.09908812;0.8655254),75.1833573
,cemeteryTest,15,09-23-24,08:37:42,76.7034068,5.127146,5.603273,4.049854,(0.0895419;0.0895419;0.0895419),119,14.02913,5.954913,5.927491,(0.1429546;0.1429546;0.1429546),134,(51.76269;-1.638014;-6.322718),(0.01134284;0.9563223;-0.03744563;0.2896842),(0.08954193;0.0895419;0.08954193),(50.98037;-2.364893;-6.253034),(-0.007889434;0.9411112;0.02201337;0.3372875),(0.1429546;0.1429546;0.1429546),(54.87495;-2.077905;-10.98853),(-0.05508477;-0.251866;-0.02663273;0.9658261),(1;0.9999999;0.9999999),(54.89194;-2.080032;-11.0107),(-0.487641;0.1004825;0.8672388),81.0804035
