User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,officeTest,3,09-26-24,04:14:18,7.6727591,5.429246,6.365961,4.745023,(0.158512;0.158512;0.158512),313,11.62717,7.772283,6.234837,(0.2584014;0.2584014;0.2584014),267,(20.79977;4.89354;21.30358),(0.05321051;0.0503237;-0.00268497;0.9973109),(0.158512;0.1585119;0.158512),(19.58267;4.491879;19.91994),(0.01744523;0.1178975;-0.00207152;0.9928704),(0.2584013;0.2584014;0.2584014),(21.43981;4.213117;27.62963),(-0.01677388;-0.9995215;-0.0196581;0.01700207),(1;0.9999999;1),(21.43981;4.213117;27.62963),(-0.03332838;0.03986778;-0.998649),9.3809514
,officeTest,12,09-26-24,04:14:22,10.8809457,11.89449,3.423053,4.081672,(0.07459632;0.07459632;0.07459632),76,6.788378,7.519541,4.711135,(0.1863721;0.1863721;0.1863721),147,(22.03744;4.436611;24.18115),(0.03207064;-0.0852161;0.002744344;0.9958425),(0.07459632;0.07459632;0.07459632),(21.65332;3.615135;20.0751),(-0.03940525;-0.01383185;-0.0005455235;0.9991274),(0.1863721;0.1863721;0.1863721),(21.44434;4.211531;27.62132),(-0.02012696;-0.9995959;-0.01116818;0.0166805),(1;1;1),(21.4531;4.2157;27.65279),(-0.002149496;0.008094136;-0.9999539),13.0239393
,officeTest,17,09-26-24,04:14:25,14.5294779,12.18168,5.9484,5.241017,(0.1666042;0.1666042;0.1666042),298,9.147465,2.84428,4.779562,(0.07193232;0.07193232;0.07193232),159,(20.08805;5.049095;21.75486),(0.06849293;0.1122773;-0.007757825;0.9912832),(0.1666042;0.1666042;0.1666042),(21.48311;3.884178;24.76795),(-0.05701116;-0.008183932;-0.0004673513;0.9983399),(0.07193232;0.07193232;0.07193232),(21.43618;4.212143;27.62976),(-0.009486384;-0.9996107;-0.01780118;0.01927668),(1;1;1),(21.45632;4.215634;27.66064),(-0.01072281;0.02720043;-0.9995615),16.2781737
,officeTest,16,09-26-24,04:14:28,17.7779393,7.829387,3.692911,7.941694,(0.1545727;0.1545727;0.1545727),161,17.62187,7.924362,7.513695,(0.3262199;0.3262199;0.3262199),153,(21.43847;3.852549;23.92153),(-0.04831316;-0.0001964038;-9.499983E-06;0.9988322),(0.1545727;0.1545727;0.1545727),(22.20182;2.213316;19.59747),(-0.1209665;-0.04708677;-0.005744622;0.9915226),(0.3262199;0.3262199;0.3262199),(21.43701;4.212318;27.63179),(-0.01015052;-0.9995927;-0.01648011;0.02097353),(1;1;1),(21.45949;4.215989;27.66308),(-0.008108784;0.02789171;-0.9995745),19.5763659
,officeTest,6,09-26-24,04:14:32,21.0758385,8.404638,7.843071,7.617294,(0.3153461;0.3153461;0.3153461),349,15.67642,5.49231,4.917554,(0.1465428;0.1465428;0.1465428),60,(21.09204;5.707661;19.84804),(0.09464436;0.02197979;-0.002090158;0.9952663),(0.3153461;0.3153461;0.3153461),(22.68322;5.194481;22.14728),(0.08578149;-0.111275;0.009641426;0.9900336),(0.1465428;0.1465428;0.1465428),(21.43578;4.213314;27.62656),(-0.01346674;-0.9996085;-0.0223459;0.0101154),(1;1;1),(21.4623;4.216181;27.65796),(0.004165711;0.01694462;-0.9998366),23.0753348
,officeTest,1,09-26-24,04:14:35,24.5743932,19.364,7.190586,4.485235,(0.1785909;0.1785909;0.1785909),298,10.50633,3.38684,5.18528,(0.09330229;0.09330229;0.09330229),52,(19.1914;5.779583;20.52018),(0.1020835;0.1514302;-0.01572496;0.9830568),(0.1785909;0.1785909;0.1785909),(21.92156;4.753008;24.26624),(0.07834774;-0.07130297;0.005618128;0.994357),(0.09330228;0.09330229;0.09330229),(21.43615;4.213543;27.63351),(-0.008558102;-0.9996755;-0.02385331;0.002584909),(1;1;1),(21.45436;4.21677;27.66578),(-0.006974609;0.009353843;-0.9999238),27.0400801
,officeTest,4,09-26-24,04:14:39,28.5393626,6.403089,7.872264,7.975651,(0.3298859;0.3298859;0.3298859),163,15.51762,5.179045,7.965139,(0.2235377;0.2235377;0.2235377),110,(21.48438;4.006153;19.71967),(-0.01365641;-0.003168187;-4.327031E-05;0.9999018),(0.3298859;0.3298859;0.3298859),(22.64907;4.12727;22.40322),(-0.008801267;-0.1137641;-0.001007851;0.9934683),(0.2235377;0.2235377;0.2235377),(21.4342;4.222497;27.63824),(-0.007569642;-0.9990943;-0.03991332;0.01265877),(1;1;1),(21.45057;4.224713;27.66971),(-0.01564986;0.01692168;-0.9997218),30.5815448
,officeTest,5,09-26-24,04:14:43,32.0819685,16.95358,3.433357,4.117195,(0.07720656;0.07720656;0.07720656),108,24.7543,6.993338,6.786291,(0.2729322;0.2729322;0.2729322),105,(22.33433;4.022062;24.16112),(-0.02651514;-0.126371;-0.00337905;0.9916229),(0.07720655;0.07720656;0.07720656),(24.35102;3.635676;20.52657),(-0.03685736;-0.1933589;-0.007269107;0.9804087),(0.2729322;0.2729322;0.2729322),(21.43539;4.213877;27.63078),(-0.005734431;-0.9996789;-0.0206339;0.01354413),(1;1;1),(21.45218;4.217362;27.66233),(-0.006878056;0.02256003;-0.9997178),34.9471764
,officeTest,9,09-26-24,04:14:47,36.4467106,20.37253,3.09615,5.860628,(0.1011021;0.1011021;0.1011021),212,13.91553,4.833877,5.019829,(0.130591;0.130591;0.130591),269,(20.97863;3.416604;24.46126),(-0.1214488;0.07239196;0.008881491;0.9899145),(0.1011021;0.1011021;0.1011021),(20.50708;4.473968;22.74788),(0.0258937;0.09467582;-0.002463409;0.9951683),(0.130591;0.130591;0.130591),(21.44487;4.214988;27.63195),(-0.01266389;-0.9992334;-0.02599579;-0.02639169),(1;0.9999999;1),(21.46156;4.217923;27.66478),(-0.01127908;0.01976735;-0.9997385),38.8675392
,officeTest,13,09-26-24,04:14:51,40.4338203,6.376297,6.525016,7.694746,(0.2638003;0.2638003;0.2638003),71,15.26154,6.637347,7.522363,(0.2702466;0.2702466;0.2702466),207,(21.73859;4.712087;21.0917),(0.0379573;-0.02348636;0.0008923687;0.9990029),(0.2638003;0.2638004;0.2638003),(20.20695;2.876776;20.9943),(-0.09723459;0.09062459;0.008891093;0.9910871),(0.2702466;0.2702466;0.2702466),(21.43093;4.213881;27.63117),(-0.003754798;-0.9993554;-0.0202372;0.02941578),(1;1;1),(21.40188;4.217863;27.6635),(-0.01247422;0.01287409;-0.9998292),42.3998158
