User,Scene,ConditionID,Date,TimeOfDay,Time,A_eccentricity,A_depth,A_size,A_scale,A_theta,B_eccentricity,B_depth,B_size,B_scale,B_theta,A_worldPos,A_worldRot,A_localScale,B_worldPos,B_worldRot,B_localScale,Camera_worldPos,Camera_worldRot,Camera_localScale,GazeOrg,GazeDir,EndTime
,spaceTest,6,09-26-24,05:21:29,14.5517543,12.35426,6.043793,6.567693,(4.854944;4.854944;4.854944),86,23.50768,3.998769,4.21423,(2.196336;2.196336;2.196336),43,(1.788331;1.947765;-3.604306),(0.05789865;-0.1448554;0.008491197;0.9877209),(4.854944;4.854944;4.854943),(1.525212;2.898078;-1.454976),(0.1920706;-0.1861869;0.03714114;0.9628416),(2.196336;2.196336;2.196336),(0.02396441;1.224897;2.28163),(-0.01124013;-0.9977257;-0.05563985;-0.03635136),(1;1;1),(0.02763916;1.224538;2.307434),(0.074443;0.1068662;-0.9914728),19.1047276
,spaceTest,13,09-26-24,05:21:35,20.6046342,12.06436,4.366838,6.274214,(3.3476;3.3476;3.3476),249,21.60064,3.111216,7.374164,(2.947754;2.947754;2.947754),323,(-0.5189178;1.37345;-2.164533),(0.0174752;0.06189792;-0.001083923;0.9979289),(3.3476;3.3476;3.3476),(-0.4643648;2.545768;-0.766664),(0.202074;0.07948714;-0.01645725;0.9760005),(2.947754;2.947754;2.947754),(0.03257418;1.217104;2.263988),(-0.008623987;-0.9978222;-0.05428787;-0.03646067),(1;1;1),(0.02934969;1.216911;2.289388),(0.07113367;0.1154274;-0.9907517),24.3565298
,spaceTest,14,09-26-24,05:21:40,25.8556131,9.374741,6.276064,7.492791,(5.693582;5.693582;5.693582),102,12.26037,2.950199,6.136323,(2.213585;2.213585;2.213585),318,(1.492705;1.665103;-3.917348),(0.03511457;-0.1164636;0.004120201;0.9925655),(5.693583;5.693582;5.693582),(-0.1863742;2.011874;-0.6491206),(0.1329726;0.03580616;-0.004807091;0.9904611),(2.213585;2.213585;2.213585),(0.0239054;1.21559;2.25543),(-0.003933023;-0.9978642;-0.05408406;-0.03642069),(1;0.9999999;1),(0.0213021;1.21545;2.280849),(0.06930543;0.1131609;-0.9911482),29.4873594
,spaceTest,11,09-26-24,05:21:45,30.9864984,9.59502,7.990448,6.463171,(6.257913;6.257913;6.257913),207,18.23945,2.420783,4.329155,(1.318766;1.318766;1.318766),291,(-0.3307959;0.4007959;-5.809287),(-0.04985786;0.02171741;0.001084389;0.9985196),(6.257913;6.257913;6.257913),(-0.6468205;1.612641;-0.1800369),(0.0789042;0.1332219;-0.0106407;0.987883),(1.318766;1.318766;1.318766),(0.01979458;1.208059;2.246596),(0.0009119673;-0.9995615;-0.02473996;-0.01624651),(1;1;1),(0.01936528;1.209573;2.272004),(0.07214384;0.1104815;-0.9912493),34.7517212
,spaceTest,8,09-26-24,05:21:51,36.2509385,20.03775,5.756965,6.946867,(5.085802;5.085802;5.085802),23,16.01357,4.670698,6.587664,(3.824604;3.824604;3.824604),84,(1.064039;3.553746;-3.319849),(0.1941891;-0.09110824;0.01811696;0.976556),(5.085802;5.085802;5.085802),(1.540694;1.688583;-2.344979),(0.04873683;-0.1594309;0.007880692;0.9859738),(3.824604;3.824604;3.824603),(0.0167284;1.209367;2.244165),(0.00180952;-0.9991345;-0.0360301;-0.0207094),(1;1;1),(0.01198459;1.210138;2.269514),(0.0505105;0.1099729;-0.9926488),39.8718663
,spaceTest,2,09-26-24,05:21:56,41.3709758,23.73594,7.18528,7.328037,(6.871384;6.871384;6.871384),109,6.893885,2.133246,6.269434,(1.609639;1.609639;1.609639),275,(3.304763;0.5242788;-4.858641),(-0.04232642;-0.214713;-0.00931423;0.9757152),(6.871383;6.871383;6.871384),(-0.1436993;1.340438;0.100732),(0.03174029;0.03867577;-0.00122912;0.9987469),(1.609639;1.609639;1.609639),(0.02213632;1.203999;2.238756),(-0.004182955;-0.9994227;-0.02625116;-0.02116133),(1;1;1),(0.02014813;1.205287;2.264247),(0.06404659;0.1154975;-0.9912323),45.4575533
,spaceTest,10,09-26-24,05:22:01,46.9571904,23.54986,7.611735,6.535262,(6.483396;6.483396;6.483396),287,13.33013,7.992304,6.056081,(5.94357;5.94357;5.94357),173,(-2.673878;2.626726;-5.486362),(0.08477522;0.166578;-0.01437655;0.982272),(6.483397;6.483397;6.483396),(0.7398131;-0.2162515;-5.821271),(-0.08670478;-0.0441712;-0.003848145;0.9952469),(5.94357;5.94357;5.94357),(0.0231341;1.204087;2.23678),(-0.002045335;-0.9991152;-0.02871065;-0.03066661),(1;1;1),(0.03224516;1.205237;2.262685),(0.06828942;0.119;-0.9905362),51.5105587
,spaceTest,17,09-26-24,05:22:07,53.0097408,24.36497,2.075188,5.722027,(1.557628;1.557628;1.557628),55,20.46916,2.973311,7.077387,(2.683408;2.683408;2.683408),207,(0.881227;1.843318;0.2319805),(0.1382048;-0.2005942;0.02859655;0.9694554),(1.557628;1.557628;1.557628),(-0.3479623;0.3631347;-0.7984251),(-0.1338814;0.05859336;0.007929953;0.9892319),(2.683409;2.683408;2.683408),(0.0132091;1.206731;2.239708),(-0.0005162068;-0.9994247;-0.02408047;-0.02388022),(1;1;1),(0.02283745;1.208253;2.265498),(0.06911674;0.1141217;-0.9910559),56.8214907
,spaceTest,9,09-26-24,05:22:13,58.3182199,7.967513,6.777479,6.179408,(5.052913;5.052913;5.052913),19,13.8112,4.297952,5.489592,(2.903364;2.903364;2.903364),256,(0.8470414;2.55679;-4.420123),(0.0990143;-0.06108817;0.006090073;0.9931905),(5.052913;5.052913;5.052913),(-0.6837953;1.264888;-2.130255),(0.00666409;0.08032346;-0.00053703;0.9967464),(2.903365;2.903364;2.903364),(0.02486943;1.205709;2.238157),(-0.008853508;-0.9986922;-0.03450396;-0.0366757),(1;1;1),(0.02136879;1.206609;2.263442),(0.07050719;0.1232879;-0.9898624),62.9389974
,spaceTest,3,09-26-24,05:22:19,64.4374993,17.63452,5.240396,6.692356,(4.396672;4.396672;4.396672),218,23.55592,2.971156,7.198622,(2.787408;2.787408;2.787408),156,(-0.7192498;0.3431698;-3.141393),(-0.07862347;0.06813396;0.005386236;0.9945588),(4.396672;4.396672;4.396672),(0.7089928;0.2767909;-0.7893736),(-0.1441524;-0.1102564;-0.0161643;0.9832611),(2.787408;2.787408;2.787408),(0.02132498;1.20717;2.238365),(-0.0002115807;-0.9987501;-0.04216093;-0.0268466),(1;1;1),(0.01903267;1.207529;2.26384),(0.07181224;0.1165251;-0.9905745),68.4467854
,spaceTest,12,09-26-24,05:22:24,69.9488174,15.45877,7.700705,4.96095,(4.736824;4.736824;4.736824),3,8.437202,4.061419,4.435963,(2.176746;2.176746;2.176746),90,(0.4905348;4.271707;-5.122581),(0.1950938;-0.03122479;0.006214388;0.9802678),(4.736824;4.736824;4.736823),(0.8101484;1.709145;-1.755166),(0.06028963;-0.09711873;0.005893989;0.9934276),(2.176746;2.176746;2.176745),(0.0207969;1.212617;2.243389),(-0.002079146;-0.9978193;-0.06182883;-0.02301227),(1;1;1),(0.0192461;1.211805;2.268903),(0.0677229;0.1118551;-0.9914061),73.7352159
